

*******************************************************************************
Ephemeris / WWW_USER Sun Jan 11 21:45:37 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: OCO-2 (spacecraft) (-140059)    {source: OCO-2}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Feb-02 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Feb-09 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260109.p260407
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-JAN-09. PREDICTS-> 2026-APR-06
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460342.545138889, A.D. 2024-Feb-02 01:05:00.0000, -9.873372404446498E+02,  2.176471867957239E+03,  6.656056043966732E+03, -6.763588706346027E+00,  2.661149701395209E+00, -1.872301029231593E+00,
2460342.545833333, A.D. 2024-Feb-02 01:06:00.0000, -1.390887892367836E+03,  2.331627863972182E+03,  6.530331200888355E+03, -6.683571405262688E+00,  2.508973438354345E+00, -2.317119627427306E+00,
2460342.546527778, A.D. 2024-Feb-02 01:07:00.0000, -1.788826383341437E+03,  2.477346236676113E+03,  6.378188238891082E+03, -6.576578481848633E+00,  2.346666641330981E+00, -2.752609382547146E+00,
2460342.547222222, A.D. 2024-Feb-02 01:08:00.0000, -2.179546382051471E+03,  2.613038493401269E+03,  6.200239664591027E+03, -6.443034424506568E+00,  2.174880534548819E+00, -3.177017452163003E+00,
2460342.547916667, A.D. 2024-Feb-02 01:09:00.0000, -2.561470202134040E+03,  2.738156368828148E+03,  5.997201910013489E+03, -6.283469370070632E+00,  1.994304440982528E+00, -3.588633573327655E+00,
2460342.548611111, A.D. 2024-Feb-02 01:10:00.0000, -2.933055091643310E+03,  2.852194036656181E+03,  5.769892580120597E+03, -6.098517406155833E+00,  1.805663282179026E+00, -3.985796656911220E+00,
2460342.549305555, A.D. 2024-Feb-02 01:11:00.0000, -3.292799410244384E+03,  2.954690167094056E+03,  5.519227307247565E+03, -5.888914519822397E+00,  1.609714936161262E+00, -4.366901295343013E+00,
2460342.550000000, A.D. 2024-Feb-02 01:12:00.0000, -3.639248672538531E+03,  3.045229821589996E+03,  5.246216218060932E+03, -5.655496179729457E+00,  1.407247451617681E+00, -4.730404167782478E+00,
2460342.550694444, A.D. 2024-Feb-02 01:13:00.0000, -3.971001435129977E+03,  3.123446176135237E+03,  4.951960019742441E+03, -5.399194538405895E+00,  1.199076117487394E+00, -5.074830322253590E+00,
2460342.551388889, A.D. 2024-Feb-02 01:14:00.0000, -4.286715004237261E+03,  3.189022064455437E+03,  4.637645713472660E+03, -5.121035241677338E+00,  9.860403884436897E-01, -5.398779309627790E+00,
2460342.552083333, A.D. 2024-Feb-02 01:15:00.0000, -4.585110939903183E+03,  3.241691332485320E+03,  4.304541944938088E+03, -4.822133833698384E+00,  7.690006686195516E-01, -5.700931139754301E+00,
2460342.552777778, A.D. 2024-Feb-02 01:16:00.0000, -4.864980332223501E+03,  3.281239995725611E+03,  3.953994003506022E+03, -4.503691748454552E+00,  5.488349581545044E-01, -5.980052025728785E+00,
2460342.553472222, A.D. 2024-Feb-02 01:17:00.0000, -5.125188824555815E+03,  3.307507191430914E+03,  3.587418483879615E+03, -4.166991881982738E+00,  3.264353697016893E-01, -6.234999878474243E+00,
2460342.554166667, A.D. 2024-Feb-02 01:18:00.0000, -5.364681358445786E+03,  3.320385918089442E+03,  3.206297626422554E+03, -3.813393743833961E+00,  1.027045248285847E-01, -6.464729510680257E+00,
2460342.554861111, A.D. 2024-Feb-02 01:19:00.0000, -5.582486615065368E+03,  3.319823555341175E+03,  2.812173354883909E+03, -3.444328191356908E+00, -1.214481568207368E-01, -6.668297506879336E+00,
2460342.555555556, A.D. 2024-Feb-02 01:20:00.0000, -5.777721128340762E+03,  3.305822158345806E+03,  2.406641032902345E+03, -3.061291756070089E+00, -3.451102597646396E-01, -6.844866715176181E+00,
2460342.556250000, A.D. 2024-Feb-02 01:21:00.0000, -5.949593045690973E+03,  3.278438521654002E+03,  1.991342963357353E+03, -2.665840577538202E+00, -5.673702475933324E-01, -6.993710315998058E+00,
2460342.556944444, A.D. 2024-Feb-02 01:22:00.0000, -6.097405513420221E+03,  3.237784008847184E+03,  1.567961657297019E+03, -2.259583966583619E+00, -7.873213891052855E-01, -7.114215424267098E+00,
2460342.557638889, A.D. 2024-Feb-02 01:23:00.0000, -6.220559665320205E+03,  3.184024145577774E+03,  1.138212901733913E+03, -1.844177626138307E+00, -1.004065711800086E+00, -7.205886183636300E+00,
2460342.558333333, A.D. 2024-Feb-02 01:24:00.0000, -6.318557194937317E+03,  3.117377975143373E+03,  7.038386579880600E+02, -1.421316564359525E+00, -1.216717956810698E+00, -7.268346314862123E+00,
2460342.559027778, A.D. 2024-Feb-02 01:25:00.0000, -6.391002494229565E+03,  3.038117177338664E+03,  2.665998244017862E+02, -9.927277405850102E-01, -1.424409507773577E+00, -7.301341084945435E+00,
2460342.559722222, A.D. 2024-Feb-02 01:26:00.0000, -6.437604343948098E+03,  2.946564953018406E+03, -1.717311009114038E+02, -5.601624900871575E-01, -1.626292265080183E+00, -7.304738669257758E+00,
2460342.560416667, A.D. 2024-Feb-02 01:27:00.0000, -6.458177143990319E+03,  2.843094678538787E+03, -6.093774201505628E+02, -1.253887782156111E-01, -1.821542436478544E+00, -7.278530885340560E+00,
2460342.561111111, A.D. 2024-Feb-02 01:28:00.0000, -6.452641675132581E+03,  2.728128335988524E+03, -1.044565660550855E+03,  3.098166617638519E-01, -2.009364215126253E+00, -7.222833284249175E+00,
2460342.561805556, A.D. 2024-Feb-02 01:29:00.0000, -6.421025386902919E+03,  2.602134726835582E+03, -1.475532984947247E+03,  7.436762501539347E-01, -2.188993316948712E+00, -7.137884593011149E+00,
2460342.562500000, A.D. 2024-Feb-02 01:30:00.0000, -6.363462209829944E+03,  2.465627478267237E+03, -1.900534549240809E+03,  1.174419483115326E+00, -2.359700350512219E+00, -7.024045509763606E+00,
2460342.563194444, A.D. 2024-Feb-02 01:31:00.0000, -6.280191893834474E+03,  2.319162853049995E+03, -2.317850768181996E+03,  1.600290796905930E+00, -2.520793994553594E+00, -6.881796861196581E+00,
2460342.563888889, A.D. 2024-Feb-02 01:32:00.0000, -6.171558878040756E+03,  2.163337375153887E+03, -2.725794451711636E+03,  2.019557316084983E+00, -2.671623960758251E+00, -6.711737139827954E+00,
2460342.564583333, A.D. 2024-Feb-02 01:33:00.0000, -6.038010700703837E+03,  1.998785284639679E+03, -3.122717775393206E+03,  2.430516429760580E+00, -2.811583722282440E+00, -6.514579446143909E+00,
2460342.565277778, A.D. 2024-Feb-02 01:34:00.0000, -5.880095961208240E+03,  1.826175836376236E+03, -3.507019050192334E+03,  2.831503143145743E+00, -2.940112991785114E+00, -6.291147867545035E+00,
2460342.565972222, A.D. 2024-Feb-02 01:35:00.0000, -5.698461849126043E+03,  1.646210458016979E+03, -3.877149258973399E+03,  3.220897155902696E+00, -3.056699936276485E+00, -6.042373332148800E+00,
2460342.566666667, A.D. 2024-Feb-02 01:36:00.0000, -5.493851258074298E+03,  1.459619783310038E+03, -4.231618329529324E+03,  3.597129623857427E+00, -3.160883119796786E+00, -5.769288980653440E+00,
2460342.567361111, A.D. 2024-Feb-02 01:37:00.0000, -5.267099504531539E+03,  1.267160577235425E+03, -4.569001116684838E+03,  3.958689566503087E+00, -3.252253168703851E+00, -5.473025103530929E+00,
2460342.568055556, A.D. 2024-Feb-02 01:38:00.0000, -5.019130673826445E+03,  1.069612569659172E+03, -4.887943068939403E+03,  4.304129889088529E+00, -3.330454158059132E+00, -5.154803693698632E+00,
2460342.568750000, A.D. 2024-Feb-02 01:39:00.0000, -4.750953617170157E+03,  8.677752141721760E+02, -5.187165558176452E+03,  4.632072994813308E+00, -3.395184721153695E+00, -4.815932666464175E+00,
2460342.569444444, A.D. 2024-Feb-02 01:40:00.0000, -4.463657624855471E+03,  6.624643885557468E+02, -5.465470854082972E+03,  4.941215969510020E+00, -3.446198887507872E+00, -4.457799798936630E+00,
2460342.570138889, A.D. 2024-Feb-02 01:41:00.0000, -4.158407801588452E+03,  4.545090529032191E+02, -5.721746728026205E+03,  5.230335327981747E+00, -3.483306657620934E+00, -4.081866440277874E+00,
2460342.570833333, A.D. 2024-Feb-02 01:42:00.0000, -3.836440170363615E+03,  2.447478808530441E+02, -5.954970674149791E+03,  5.498291317669434E+00, -3.506374325263854E+00, -3.689661042203453E+00,
2460342.571527778, A.D. 2024-Feb-02 01:43:00.0000, -3.499056531365554E+03,  3.402587867907687E+01, -6.164213738316705E+03,  5.744031781362646E+00, -3.515324560137635E+00, -3.282772556138863E+00,
2460342.572222222, A.D. 2024-Feb-02 01:44:00.0000, -3.147619102109738E+03, -1.768089938300714E+02, -6.348643948183400E+03,  5.966595586064769E+00, -3.510136265219330E+00, -2.862843739534921E+00,
2460342.572916667, A.D. 2024-Feb-02 01:45:00.0000, -2.783544964469487E+03, -3.869091876562425E+02, -6.507529340089301E+03,  6.165115629732932E+00, -3.490844224062017E+00, -2.431564409215907E+00,
2460342.573611111, A.D. 2024-Feb-02 01:46:00.0000, -2.408300343421927E+03, -5.954309018798319E+02, -6.640240580552752E+03,  6.338821441318268E+00, -3.457538553699726E+00, -1.990664674462979E+00,
2460342.574305556, A.D. 2024-Feb-02 01:47:00.0000, -2.023394741343747E+03, -8.015373828587039E+02, -6.746253181951724E+03,  6.487041392248869E+00, -3.410363978647210E+00, -1.541908177032306E+00,
2460342.575000000, A.D. 2024-Feb-02 01:48:00.0000, -1.630374950553706E+03, -1.004402174970781E+03, -6.825149313423273E+03,  6.609204539179780E+00, -3.349518940810872E+00, -1.087085359680145E+00,
2460342.575694445, A.D. 2024-Feb-02 01:49:00.0000, -1.230818965599060E+03, -1.203212313482818E+03, -6.876619209138793E+03,  6.704842118469888E+00, -3.275254558991099E+00, -6.280067792330539E-01,
2460342.576388889, A.D. 2024-Feb-02 01:50:00.0000, -8.263298155759617E+02, -1.397171450877802E+03, -6.900462176914590E+03,  6.773588712462087E+00, -3.187873450123828E+00, -1.664964750035469E-01,
